UTLN,port
noah,7000
bmachl01,7010
nstock01,7011
jwei05,7012
hjin04,7013
bvoelz01,7014
zxu03,7015
jnagy01,7016
ckoest01,7017
pjain03,7018
mmonks01,7019
ajohns16,7020
bjanis01,7021
jleung06,7022
wglove01,7023
hfeng03,7024
megonu01,7025
dutkar01,7026
merden01,7027
nhill03,7028
lloaiz01,7029
phoang03,7030
pwolfe01,7031
akoche01,7032
rchen07,7033
mrobin12,7034
abehr01,7035
jflani01,7036
